Entity,Code,Year,"Combined gross enrolment ratio for tertiary education, female","Combined gross enrolment ratio for tertiary education, male","Combined total net enrolment rate, primary, female","Combined total net enrolment rate, primary, male",Net enrolment rate in lower secondary education among boys,Net enrolment rate in lower secondary education among girls,Net enrolment rate in upper secondary education among boys,Net enrolment rate in upper secondary education among girls
East Asia and Pacific (WB),,1985,4.88439,8.02311,,,,,,
East Asia and Pacific (WB),,1986,5.06432,8.49902,,,,,,
East Asia and Pacific (WB),,1987,5.37041,8.90625,,,,,,
East Asia and Pacific (WB),,1988,5.47189,8.81726,95.23349,97.948,,,,
East Asia and Pacific (WB),,1989,5.69395,8.86609,93.29576,97.57053,,,,
East Asia and Pacific (WB),,1990,5.82152,8.83975,91.00576,94.86563,,,,
East Asia and Pacific (WB),,1991,6.04895,8.8234,90.80691,94.25812,,,,
East Asia and Pacific (WB),,1992,6.36209,8.90352,90.41779,93.54506,,,,
East Asia and Pacific (WB),,1993,7.1973,9.6496,90.49213,93.23714,,,,
East Asia and Pacific (WB),,1994,8.23187,10.99349,90.78915,93.20422,,,,
East Asia and Pacific (WB),,1995,9.18001,12.20707,91.85478,93.67698,,,,
East Asia and Pacific (WB),,1996,10.08816,13.38636,92.89048,93.87528,,,,
East Asia and Pacific (WB),,1997,11.61325,14.86721,93.94194,94.28311,,,,
East Asia and Pacific (WB),,1998,12.38676,15.45095,96.467,93.78135,77.926,79.52068,61.26032,52.90252
East Asia and Pacific (WB),,1999,13.4585,16.16815,98.19189,96.77088,78.95906,80.29872,62.44704,54.23007
East Asia and Pacific (WB),,2000,14.24177,16.8332,98.09958,96.59143,80.87097,82.47417,62.93641,56.09863
East Asia and Pacific (WB),,2001,15.0887,18.01725,98.25981,96.73116,83.25514,84.57105,64.82942,59.45193
East Asia and Pacific (WB),,2002,17.00272,19.51798,98.23605,96.74739,84.55589,86.08307,65.44933,61.97831
East Asia and Pacific (WB),,2003,18.83193,21.36744,98.03748,96.8787,86.04008,87.98544,65.69437,64.37358
East Asia and Pacific (WB),,2004,20.71891,22.81926,98.11704,96.94158,87.35492,89.45216,66.79523,67.63605
East Asia and Pacific (WB),,2005,22.10837,24.06689,97.98325,96.88018,88.10425,89.91001,66.6381,69.30798
East Asia and Pacific (WB),,2006,23.85738,24.96081,98.02455,96.43723,89.15556,90.7902,67.63125,70.6063
East Asia and Pacific (WB),,2007,25.30169,25.40571,98.17752,96.61596,90.52163,91.818,68.89647,72.28352
East Asia and Pacific (WB),,2008,26.26635,25.87853,98.2385,96.83451,90.12062,91.12774,71.35395,74.5117
East Asia and Pacific (WB),,2009,27.80221,26.83588,98.46109,97.00231,91.44779,92.60729,75.32401,78.81975
East Asia and Pacific (WB),,2010,29.79875,28.34541,98.88204,97.50097,92.79059,94.13768,76.35629,79.95603
East Asia and Pacific (WB),,2011,31.57348,29.67824,98.72937,97.43514,93.15398,94.68343,77.42265,81.56898
East Asia and Pacific (WB),,2012,34.28854,31.39004,99.12902,98.22517,93.25104,95.0493,77.01179,82.26524
East Asia and Pacific (WB),,2013,37.31125,33.44721,99.15034,98.06369,93.77692,95.41737,77.40603,83.24579
East Asia and Pacific (WB),,2014,45.24804,39.70171,98.63904,98.02365,93.67978,95.59074,77.64107,84.296
East Asia and Pacific (WB),,2015,48.24698,41.76419,96.81906,97.01197,93.85254,95.19769,81.62818,83.35044
East Asia and Pacific (WB),,2016,50.58427,42.96822,96.35092,96.93196,93.66908,95.15661,81.22356,83.77407
East Asia and Pacific (WB),,2017,51.3293,43.50912,96.27144,96.82826,93.31548,95.04215,83.355,85.89175
East Asia and Pacific (WB),,2018,52.36913,44.18526,95.50737,96.67688,93.21362,94.58944,83.73953,86.6254
East Asia and Pacific (WB),,2019,54.7758,45.95769,95.59283,96.72564,93.28494,94.75519,84.58428,87.34669
East Asia and Pacific (WB),,2020,57.85702,49.19848,95.50502,96.66163,92.58454,93.52367,85.324,86.86258
East Asia and Pacific (WB),,2021,61.1892,52.49803,95.55663,96.66157,93.02243,93.85944,85.24632,86.80384
East Asia and Pacific (WB),,2022,63.8732,55.41767,96.02848,97.01664,93.2312,94.08936,85.82791,87.25589
Europe and Central Asia (WB),,1985,30.63561,29.21197,93.71614,94.57364,,,,
Europe and Central Asia (WB),,1986,31.16458,29.4581,94.00466,94.91474,,,,
Europe and Central Asia (WB),,1987,31.24592,29.58286,94.32657,95.23558,,,,
Europe and Central Asia (WB),,1988,31.58324,29.95776,94.97702,95.76141,,,,
